Date,Open,High,Low,Close,Adj Close,Volume
2021-11-19,4708.44,4717.75,4694.22,4697.96,4697.96,4253180000
2021-11-22,4712,4743.83,4682.17,4682.94,4682.94,4441100000
2021-11-23,4678.48,4699.39,4652.66,4690.7,4690.7,4277590000
2021-11-24,4675.78,4702.87,4659.89,4701.46,4701.46,3418430000
2021-11-26,4664.63,4664.63,4585.43,4594.62,4594.62,3517700000
2021-11-29,4628.75,4672.95,4625.26,4655.27,4655.27,4336410000
2021-11-30,4640.25,4646.02,4560,4567,4567,6625990000
2021-12-01,4602.82,4652.94,4510.27,4513.04,4513.04,5366730000
2021-12-02,4504.73,4595.46,4504.73,4577.1,4577.1,5077180000
2021-12-03,4589.49,4608.03,4495.12,4538.43,4538.43,5240070000
2021-12-06,4548.37,4612.6,4540.51,4591.67,4591.67,4770800000
2021-12-07,4631.97,4694.04,4631.97,4686.75,4686.75,4492400000
2021-12-08,4690.86,4705.06,4674.52,4701.21,4701.21,4234600000
2021-12-09,4691,4695.26,4665.98,4667.45,4667.45,3903840000
2021-12-10,4687.64,4713.57,4670.24,4712.02,4712.02,3870110000
2021-12-13,4710.3,4710.3,4667.6,4668.97,4668.97,4397230000
2021-12-14,4642.99,4660.47,4606.52,4634.09,4634.09,4485430000
2021-12-15,4636.46,4712.6,4611.22,4709.85,4709.85,4910130000
2021-12-16,4719.13,4731.99,4651.89,4668.67,4668.67,4829500000
2021-12-17,4652.5,4666.7,4600.22,4620.64,4620.64,7987090000
2021-12-20,4587.9,4587.9,4531.1,4568.02,4568.02,4635700000
2021-12-21,4594.96,4651.14,4583.16,4649.23,4649.23,4072430000
2021-12-22,4650.36,4697.67,4645.53,4696.56,4696.56,3319610000
2021-12-23,4703.96,4740.74,4703.96,4725.79,4725.79,2913040000
2021-12-27,4733.99,4791.49,4733.99,4791.19,4791.19,2770290000
2021-12-28,4795.49,4807.02,4780.04,4786.35,4786.35,2707920000
2021-12-29,4788.64,4804.06,4778.08,4793.06,4793.06,2963310000
2021-12-30,4794.23,4808.93,4775.33,4778.73,4778.73,3124950000
2021-12-31,4775.21,4786.83,4765.75,4766.18,4766.18,2677820000
2022-01-03,4778.14,4796.64,4758.17,4796.56,4796.56,3831020000
2022-01-04,4804.51,4818.62,4774.27,4793.54,4793.54,4683170000
2022-01-05,4787.99,4797.7,4699.44,4700.58,4700.58,4887960000
2022-01-06,4693.39,4725.01,4671.26,4696.05,4696.05,4295280000
2022-01-07,4697.66,4707.95,4662.74,4677.03,4677.03,4181510000
2022-01-10,4655.34,4673.02,4582.24,4670.29,4670.29,4511810000
2022-01-11,4669.14,4714.13,4638.27,4713.07,4713.07,4101590000
2022-01-12,4728.59,4748.83,4706.71,4726.35,4726.35,4048220000
2022-01-13,4733.56,4744.13,4650.29,4659.03,4659.03,4251730000
2022-01-14,4637.99,4665.13,4614.75,4662.85,4662.85,4338490000
2022-01-18,4632.24,4632.24,4568.7,4577.11,4577.11,4748700000
2022-01-19,4588.03,4611.55,4530.2,4532.76,4532.76,4465740000
2022-01-20,4547.35,4602.11,4477.95,4482.73,4482.73,4640870000
2022-01-21,4471.38,4494.52,4395.34,4397.94,4397.94,5589100000
2022-01-24,4356.32,4417.35,4222.62,4410.13,4410.13,6928110000
